Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
07/10/2024,Clearing - Cost - Assets Under Construction - Internally Developed Software,Desnz - Corporate Services - Desnz - Implementation And Delivery Directorate,Storm Id Ltd,625625,60675,Desnz - Finance Infrastructure And Maintenance-clearing - Cost - Assets Under Construction - Internally Developed Software,Eh65bg,Vendor
07/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Low Carbon Contracts Company Ltd,625684,331679,Desnz - Low Carbon Contracts Company Non Budget-grant-in-aid To Arms Length Bodies,E14 4pu,Vendor
07/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Low Carbon Contracts Company Ltd,625685,237945,Desnz - Low Carbon Contracts Company Non Budget-grant-in-aid To Arms Length Bodies,E14 4pu,Vendor
07/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Low Carbon Contracts Company Ltd,625686,93495,Desnz - Low Carbon Contracts Company Non Budget-grant-in-aid To Arms Length Bodies,E14 4pu,Vendor
07/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Low Carbon Contracts Company Ltd,625687,87768,Desnz - Low Carbon Contracts Company Non Budget-grant-in-aid To Arms Length Bodies,E14 4pu,Vendor
07/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Energy Development,Coal Authority,624697,7000000,Desnz - Payment Of Grant In Aid To The Coal Authority-grant-in-aid To Arms Length Bodies,Ng18 4rg,Vendor
07/10/2024,Utilisation Of Provisions - Social Assistance Benefits - Concessionary,Desnz - Energy Infrastructure - Desnz - Energy Development,Homefire Group Ltd,625631,517542.76,"Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contract Management And Cil Payments)-Utilisation Of Provisions - Socialassistance Benefits - Concessionary",S21 1tz,Vendor
07/10/2024,Capital Grants To Public Corporations (Pcs),Ics - Integrated Corporate Services - Ics - Digital,Uk Shared Business Services Ltd,624161,58877.51,Ics - Transition - Dsit-capital Grants To Public Corporations (Pcs),Sn2 1ff,Vendor
07/10/2024,It Hosting Services,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Fivium Ltd,625357,47644.2,Desnz - Devolved Admin-it Hosting Services,W1f 7ld,Vendor
07/10/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Green Energy Options Ltd,625604,375906.43,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Cb23 7qs,Vendor
