Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,568876,52001.01,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
06/02/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,568877,240787.68,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Research And Development Expenditure,Se1 9nt,Vendor
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,568878,276968.71,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
06/02/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Locogen Ltd,568880,84085.17,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure,Eh3 5bd,Vendor
07/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cag Consult Llp T/A Cag Consultants,569257,57066.16,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,Ec3n 1ls,Vendor
08/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Stoli Catalysts Ltd,569731,62389.07,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Cv35 9ef,Grant
12/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The Biorenewables Development Centre Ltd,569745,191402.49,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Yo19 5sn,Vendor
09/02/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,569759,38678.44,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure,Se1 9ax,Vendor
09/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Catagen Ltd,569771,360097.27,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Bt3 9dt,Vendor
09/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Pyrogenesys Ltd,569773,45716.88,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,B7 4bb,Grant
09/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mission Zero Technologies Ltd,569783,205754.23,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Cm16 5dp,Vendor
09/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Terravesta Farms Ltd,569979,312427.86,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ln1 5ab,Vendor
12/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Tetronics Technologies Ltd,570043,650021.62,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,Sn3 4de,Vendor
14/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Hive Composites Ltd,570802,247368.95,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Le11 3qf,Vendor
15/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ccm Technologies Ltd,571073,26119.49,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ox5 1pf,Vendor
16/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ingenza Ltd,571393,33566.4,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Eh25 9rg,Grant
22/02/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Agfw Projekt Gmbh,571394,29093.42,Desnz - Sice - Cdel Staff-international Subscriptions,60596,Vendor
