Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,South Kesteven District Council,566453,196086.69,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ng31 6tt,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Southend On Sea City Council,566455,52281.95,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss2 6er,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Southern Housing Group Ltd,566456,182254.63,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Me9 8gu,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sovereign Housing Association Ltd,566457,575883.18,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rg21 4fa,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,St Albans District Council,566458,724742.35,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Al1 3je,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stevenage Borough Council,566459,193508.04,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sg1 1hn,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stonewater Ltd,566460,672303.26,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Le6 8ep,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stroud District Council,566461,215278.77,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Gl5 4ub,Vendor
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Swindon Borough Council,566462,100072.02,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sn2 2ey,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Tees Valley Combined Authority,566463,1698805.95,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dl2 1lu,Grant
