Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
21/05/2024,Legal Services And Advice Agency,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Dentons Uk And Middle East Llp,597217,28834.6,Desnz - Energy Price Guarantee - Domestic-legal Services And Advice Agency,Ec4m 7ws,Vendor
21/05/2024,Legal Services And Advice Agency,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Dentons Uk And Middle East Llp,597222,30230.2,Desnz - Energy Price Guarantee - Domestic-legal Services And Advice Agency,Ec4m 7ws,Vendor
09/05/2024,Recruitment Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Cabinet Office,594215,106868.4,Ics - Desnz Cs Admin-recruitment Advice And Services,Np10 8fz,Wga Only
22/05/2024,Recruitment Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Cabinet Office,596299,99251,Ics - Dsit Cs Admin-recruitment Advice And Services,Np10 8fz,Wga Only
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Mindshare Media Uk Ltd,594374,72350,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 9hs,Vendor
21/05/2024,It Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Triad Group Plc,594748,106253.1,Desnz - Building & Electrification Programme Expenditure-it Services,Gu7 1xe,Vendor
16/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596195,99591.89,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596203,125030.55,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
16/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596208,95911.62,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596209,279208.19,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596210,64503.15,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
22/05/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Icf Consulting Services Ltd,597496,56485.84,Desnz - Energy Technologies List-other Professional Services,Ec4r 1be,Vendor
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,598783,26118.35,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 0sw,Vendor
31/05/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Ricardo-aea Ltd,599230,101196.95,Desnz - Energy Technology List Research & Products Policy Support Services-research And Development Expenditure,Ox11 0qr,Vendor
30/05/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Mindshare Media Uk Ltd,599235,72300,Desnz - Boiler Upgrade Scheme (Programme)-Marketing And Media,Se1 9hs,Vendor
21/05/2024,Internal Audit Services,Desnz - Corporate Services - Desnz - Finance Directorate,Hm Treasury,597214,200000,Desnz - Desnz Corporate Services Admin-internal Audit Services,Sw1a 2hq,Wga Only
28/05/2024,Internal Audit Services,Desnz - Corporate Services - Desnz - Finance Directorate,Hm Treasury,598468,400000,Desnz - Desnz Corporate Services Admin-internal Audit Services,Sw1a 2hq,Wga Only
